time,fdepan,fbelakang
35.37408,5.4486156,-5.6240315
35.3792,3.3794372,-3.8102169
35.38432,0.50683695,-1.1553807
35.38944,-3.0160074,1.9585321
35.39456,-6.0171046,4.7922459
35.39968,-6.9053855,5.9432797
35.4048,-5.5636764,4.9091635
35.40992,-2.9389093,2.449862
35.41504,0.37554136,-0.54448092
35.42016,3.8753581,-3.4370778
35.42528,6.1788836,-5.4183116
35.4304,6.3865137,-5.6632867
35.43552,4.806005,-4.3060026
35.44064,2.329963,-1.8556134
35.44576,-0.89186841,1.1822288
35.45088,-4.4027538,4.2524304
35.456,-6.3571754,6.1521821
35.46112,-5.912653,5.8380327
35.46624,-3.7705755,3.8595574
35.47136,-0.829274,0.97841871
35.47648,2.5536234,-2.2083819
35.4816,5.5182071,-4.7632756
35.48672,6.5505061,-5.7211089
35.49184,5.499505,-4.8934555
35.49696,3.260864,-2.8571579
35.50208,0.39895064,-0.12381093
35.5072,-3.0282209,2.9528623
35.51232,-5.9076915,5.3441563
35.51744,-6.5614977,5.71772
35.52256,-5.1182637,4.3599052
35.52768,-2.7372587,1.9730672
35.5328,0.23215942,-0.98721886
35.53792,3.4905043,-3.9645865
35.54304,5.6439047,-5.8185053
35.54816,5.7224021,-5.7535744
35.55328,4.104744,-4.2786303
35.5584,1.5952419,-1.740075
35.56352,-1.633714,1.6480956
35.56864,-4.9275546,4.9952073
35.57376,-6.35145,6.5436759
35.57888,-5.2906528,5.718781
35.584,-2.8473079,3.7030659
35.58912,0.051246285,0.941073
35.59424,3.2874541,-2.2796783
35.59936,5.9099312,-4.8778596
35.60448,6.5511422,-5.6410069
35.6096,5.116178,-4.7437544
35.61472,2.6756318,-2.7871346
35.61984,-0.47508118,0.019736735
35.62496,-4.1588645,3.3819139
35.63008,-6.8109846,5.7515645
35.6352,-6.9032226,5.6448321
35.64032,-4.8956213,3.8228481
35.64544,-2.0553358,1.2799431
35.65056,1.1699307,-1.7299958
35.65568,4.3635182,-4.552145
35.6608,6.1127267,-5.9255557
35.66592,5.7337251,-5.3822389
35.67104,3.8186159,-3.6469355
35.67616,1.0915604,-1.0655175
35.68128,-2.3249242,2.2854133
35.6864,-5.4691486,5.4066467
35.69152,-6.617095,6.5209713
35.69664,-5.4624057,5.3030972
35.70176,-2.8484528,3.0182173
35.70688,0.38304758,0.12105826
35.712,3.7030962,-3.1108332
35.71712,6.0716333,-5.3878622
35.72224,6.464375,-5.6705012
35.72736,5.0277572,-4.409234
35.73248,2.3873413,-2.2053051
35.7376,-0.99364793,0.77927685
35.74272,-4.498045,4.1243725
35.74784,-6.58249,6.2006679
35.75296,-6.3607378,5.7351193
35.75808,-4.2854528,3.7304387
35.7632,-1.307765,1.0230851
35.76832,1.8869675,-2.0916765
35.77344,4.5957026,-4.920722
35.77856,5.7946658,-6.1505852
35.78368,5.2168126,-5.448761
35.7888,3.2911434,-3.577867
35.79392,0.31447363,-0.86489034
35.79904,-3.215368,2.4763858
35.80416,-5.8779211,5.4953427
35.80928,-6.4541202,6.3634191
35.8144,-4.9719558,4.950541
35.81952,-2.114495,2.4508169
35.82464,1.4355752,-0.55806118
35.82976,4.6593151,-3.5129364
35.83488,6.4862576,-5.3586855
35.84,6.411068,-5.2989535
35.84512,4.7894654,-3.7781761
35.85024,2.070298,-1.4284714
35.85536,-1.4805359,1.4740984
35.86048,-4.8451128,4.4951773
35.8656,-6.5380883,6.0192442
35.87072,-6.0958562,5.2269206
35.87584,-3.9734983,2.9631536
35.88096,-0.79466891,-0.047103643
35.88608,2.7305927,-3.2655208
35.8912,5.2843685,-5.8054552
35.89632,5.8925014,-6.4083982
35.90144,4.7632575,-5.1795959
35.90656,2.5531147,-2.9508407
35.91168,-0.48882142,-0.051241379
35.9168,-3.9157386,3.3062675
35.92192,-6.1719365,5.9630136
35.92704,-6.2084498,6.3105836
35.93216,-4.4809966,4.6776624
35.93728,-1.6484721,2.1252086
35.9424,2.0569394,-1.0046185
35.94752,5.4837294,-4.1016622
35.95264,6.9882855,-5.7687459
35.95776,6.2026744,-5.2227769
35.96288,4.0731921,-3.1687615
35.968,1.1243843,-0.51816916
35.97312,-2.4741585,2.4550607
